Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Equipe Dédiée),Custom field (Criticité),Custom field (Eng. Documentation),Custom field (Engagement DIAGNOSTIC),Custom field (Engagement CR),Custom field (Engagement TEST),Custom field (Eng. TEST Supplémentaire),Custom field (Eng. Vérification données),Custom field (Eng. Test P3),Custom field (Eng. Test P2),Custom field (Eng. Test P1),Custom field (Team),Σ Remaining Estimate,Σ Original Estimate,Custom field (Estimation Test),Remaining Estimate,Original estimate,Resolved,Custom field (Story point estimate),Custom field (Story Points),Custom field (Development),Custom field (Eng. Développement P1),Custom field (Eng. Développement P2),Custom field (Eng. Développement P3),Custom field (Engagement DÉVELOPPEMENT),Custom field (Provoqué Par),Custom field (Provoqué Par)Id,Custom field (Scope),Reporter,Reporter Id
Demande Export,AWA-13776,77756,[EGYPTE] Modification du Template PDF facture : Éliminer l’affichage de la TVA et la remplacer par la valeur TTC,Asma Ayari,5d0a4409307c2e0bc4038d00,En cours,16/Mar/26 1:47 PM,équipe support et maintenance,,,,,,,,,,,,10800,10800,,10800,10800,,,,{},,,,,,,,Habib Dhahak,602996a97b23f40068416aa1
Task,AWA-13774,77722,Prépareration d’une présentation sur le refactoring du système d’adresse,Asma Ayari,5d0a4409307c2e0bc4038d00,En cours,16/Mar/26 1:08 PM,équipe support et maintenance,,,,,,,,,,,,14400,14400,,14400,14400,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Xray Test,AWA-13773,77721,[TC][Refactoring GO][Factures] Tester le module go ,Asma Ayari,5d0a4409307c2e0bc4038d00,Validation En Cours,16/Mar/26 1:04 PM,équipe support et maintenance,,,,,,,,,,,,,,8h,,,,,,{},,,,,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
Xray Test,AWA-13769,77550,[Whatsapp] Vérifier le bon fonctionnement des fonctionnalités liées au besoin WhatsApp,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c,Validation En Cours,16/Mar/26 8:25 AM,équipe support et maintenance,,,,,,,,,,,,28800,28800,,28800,28800,,,,{},,,,,,,,Iheb Jabri,712020:adb4d067-bfee-4be7-8884-f3e26703af1c
Support,AWA-13767,77085,[LY] Import Promo Happy Hour LY le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:56 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:54 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13766,77084,[DZ] Import Promo Happy Hour DZ le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:46 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:59 PM,,,{},,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13765,77051,[TN] Import Promo Happy Hour TN le 13/03/2026 et 14/03/2026,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,Terminé,13/Mar/26 9:33 AM,équipe support et maintenance,,,,5,,,,,,,,900,900,,900,900,13/Mar/26 12:56 PM,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-13T12:34:57.803+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,10,,,Demandes support récurrentes,Sirine Boubaker,5f06f55107efc40028e47d60
Support,AWA-13764,77018,[Tunisie] : Demande fichier : Montants des Bonus box pour les partenaires éligibles au paiement,Nacer Benkhalifa,712020:de263b22-2db5-420a-a2d2-051a4e34a2e4,Déployé,13/Mar/26 8:41 AM,équipe support et maintenance,,,1,1m,,,,,,,,1800,1800,,1800,1800,13/Mar/26 1:01 PM,,,{},,,,60,,,,Yasmine Jandoubi,60b8bab6860b9f006ae4fd87
Story,AWA-13763,77017,Planification d'une promotion via import fichier,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15,En cours,13/Mar/26 8:38 AM,équipe support et maintenance,,,,,,,,,,,,14400,14400,,14400,14400,,,,"{pullrequest={dataType=pullrequest, state=DRAFT, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-03-16T13:27:01.094+0100"",""stateCount"":1,""state"":""DRAFT"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,souad.hamdoun,712020:464f04b4-9c98-4505-a8da-51c8dfad6b15
Sub-task,AWA-13762,76880,Test de regression ,Asma Ayari,5d0a4409307c2e0bc4038d00,Terminé,12/Mar/26 1:03 PM,équipe support et maintenance,,,,0,630,,,,,,,28800,28800,,28800,28800,13/Mar/26 2:47 PM,,,{},,,,0,,,,Asma Ayari,5d0a4409307c2e0bc4038d00
